,STotalM2,SConstrM2,precio_pesos_constantes
85967,11111111,32,9621.82960674367
86049,571,571,412489.241643453
86146,457,457,176242.759153436
86159,1111,55,8408.59785561632
86618,1500,1500,38261.9419021644
86661,685,60,5290708.88353424
86709,520,300,30901.5690911863
86741,500,500,520208.63582895
87083,750,550,583798.333366996
87178,1111,1111,88121.3795767179
87198,1500,1500,5253.81076589685
87379,454,433,258306.21659101
87509,485,444,907708.138513782
87842,4674,4320,10204.9707950312
87911,677,568,318709.056275012
87918,401,326,131937.633116539
87935,1111,1111,8595.53489839439
87964,404,400,346630.260436654
88514,1111,1111,5267.21865894211
88638,500,500,25957.3180365965
89056,415,45,5698.19444551079
89106,406,406,260104.317914475
89356,402,300,298789.740257824
89490,603,377,215255.180492508
89569,45000,45000,895.228339149869
89879,624,624,156315.679282689
89915,480,480,277894.540947003
90207,800,50,3162.49791725849
90277,478,445,729747.916708745
90306,800,50,3666.4862264908
90341,520,300,60110.6663527717
90446,500,500,41861.9601061749
90647,401,326,155370.664934068
90725,416,230,104906.404257998
90727,700,60,2493.10175064082
90917,93000,93000,78690.0765628128
90962,420,400,33718.7178280008
91095,410,60,22396.1486555535
91169,478,445,867014.39304825
91294,591,423,225789.31451944
91524,669,618,298730.964243486
91690,65000,65,5655.95926127266
91713,520,520,116940.189878096
91805,1000,500,37268.0565467377
91903,32000,30,8062.61351599927
92131,500,70,1748668.36806251
92159,420,420,2404.42665411087
92185,600,50,9938.1484124634
92405,426,394,175139.500010099
92422,1000,1000,8028.7461548478
92425,1000000,150,127705.88542403
92594,420,350,356681.774477192
92598,597,597,312631.358565378
92622,750,550,557740.848481271
92729,426,394,272756.651070794
92907,577,522,241341.202250263
92945,4410,42,9405.74760525377
92966,440,440,122226.39308245
93389,500,500,1866.43619023337
93433,460,400,71422.2915507069
93453,680,680,347368.176183753
93518,440,405,338301.62337574
93760,409,409,301357.252689511
93803,430,308,247493.544986072
93880,457,385,181005.901687697
93912,11111,1111,4761.47944442057
94252,575,575,363745.530447946
94331,430,308,349733.673612501
94393,520,300,37326.9144259225
94443,490,390,168329.001620191
94630,420,400,43062.6666019778
94640,420,420,189136.393643723
94779,431,415,176762.645614953
94830,500,43,72974.7916708745
94854,677,568,233841.359414057
95053,900,850,61873.3862465179
95186,45000,45000,7216.03909702836
95326,30000,40,2084209.05710252
95346,1111,45,5972.30630814761
95411,1111,1111,5041.56647056296
95444,456,330,219112.476189071
95719,500,400,47028.7380262688
95810,460,460,334656.499794929
95835,420,420,200680.677094905
