,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
734,588,54227,49062,2021-12-01,Departamento,65.0,65.0,2,1,3,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.7875416778387,-34.6521581131232,2021,120.9314079151794,7860.54151448666
1180,824,74790,48087,2021-02-01,Departamento,44.0,44.0,0,1,1,0.0,No,0.0,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Paso del Rey,U,-58.7614781202586,-34.6579473830114,2021,104.17022137708818,4583.48974059188
5,1333,116869,56290,2021-10-01,Departamento,110.0,72.0,2,1,3,0.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sí,2,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,,U,-58.8084951367504,-34.6121769585413,2021,161.32760695184723,11615.587700533
1196,2379,202428,50048,2021-10-01,Departamento,180.0,170.0,0,2,2,0.0,0,6.0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.7896068986146,-34.6467179745213,2021,204.98095942117,34846.7631015989
921,2331,198495,48734,2022-05-01,Departamento,37.0,37.0,1,1,1,,0,0.0,,1,,0,0,0,1,0,,,0,,,,,0,1,0,,,,,,0.0,,,Moreno,Bs.As. G.B.A. Oeste,,N,-58.7853988611786,-34.6539927959229,2022,136.90971477309594,5065.65944660455
1367,1734,149749,48748,2022-06-01,Departamento,63.0,63.0,2,1,3,,0,22.0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Moreno,Bs.As. G.B.A. Oeste,Paso del Rey,U,-58.7548570986519,-34.6544363061468,2022,89.0869024324489,5612.47485324428
99,476,44511,50705,2021-02-01,Departamento,50.0,50.0,1,1,2,0.0,Sí,3.0,0,Sí,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,,U,-58.7917106497927,-34.6430805147418,2021,140.5603520448176,7028.01760224088
1223,1389,121008,47074,2021-09-01,Departamento,60.0,60.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.8183183469133,-34.6625225183407,2021,51.294435287698505,3077.66611726191
1311,1749,150786,49722,2021-09-01,Departamento,45.0,45.0,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,,N,-58.7831014857279,-34.6486165813253,2021,138.9224289041833,6251.50930068825
1079,1841,157490,47415,2021-02-01,Departamento,100.0,80.0,2,2,3,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.7920986980622,-34.6611075844118,2021,78.30128306844463,6264.10264547557
870,434,40942,50047,2022-03-01,Departamento,40.0,35.0,0,1,1,0.0,No,10.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.7917882318768,-34.6466859332519,2022,128.99311001490886,4514.75885052181
1947,1115,99130,49720,2022-11-01,Departamento,45.0,45.0,1,1,2,,0.0,20.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Moreno,Bs.As. G.B.A. Oeste,,U,-58.7874642637826,-34.6485526894782,2022,91.64748802988112,4124.13696134465
1606,511,47634,43784,2022-08-01,Departamento,40.0,25.0,0,1,1,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.8187124413397,-34.6805492657515,2022,94.8871095739964,2372.17773934991
1791,1871,161069,51706,2022-11-01,Departamento,60.0,60.0,1,1,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Moreno,Bs.As. G.B.A. Oeste,Haras María Eugenia,N,-58.761058626289,-34.6381172632508,2022,284.76183780713,17085.7102684278
1160,2094,177685,47759,2021-11-01,Departamento,60.0,55.0,2,1,3,0.0,No,50.0,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Paso del Rey,U,-58.7593345650378,-34.6597816278464,2021,119.50405085716326,6572.72279714398
1692,2170,184208,48071,2022-01-01,Departamento,80.0,80.0,2,1,3,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,2,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.796384283168,-34.6574379497739,2022,131.34526914742125,10507.6215317937
974,1270,111168,47406,2021-08-01,Departamento,85.0,80.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Moreno,Bs.As. G.B.A. Oeste,Moreno,N,-58.811733938998,-34.6608173030994,2021,57.54844919886212,4603.87593590897
1352,1045,93723,51662,2021-09-01,Departamento,35.0,35.0,1,1,2,0.0,No,2.0,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,Francisco Álvarez,U,-58.8570256065429,-34.636693341441,2021,96.17706616443458,3366.19731575521
196,514,47847,53030,2021-10-01,Departamento,42.0,35.0,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Moreno,Bs.As. G.B.A. Oeste,Paso del Rey,N,-58.7434584366895,-34.631157013457,2021,199.12436058056483,6969.35262031977
1836,1488,128305,51035,2022-04-01,Departamento,41.0,41.0,1,1,2,0.0,No,10.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,1,0.0,No,0.0,0.0,0.0,0.0,No,   0,Moreno,Bs.As. G.B.A. Oeste,Moreno,U,-58.7894906721387,-34.6413098394702,2022,151.49616482413708,6211.34275778962
693,1668,143909,47754,2022-04-01,Departamento,45.0,45.0,1,1,3,0.0,   0,0.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Moreno,Bs.As. G.B.A. Oeste,Paso del Rey,N,-58.7702430879204,-34.6596236872152,2022,177.46693593684623,7986.01211715808
